Order_Id,Order_Date,Order_Status,Order_Region,Market,ISO3,Customer_Segment,Product_Id,Product_Name,Category_Name,Product_Price,Shipping_Date,Shipping_Mode,Shipment(real),Shipment(scheduled),Delivery_Status,Payment_Type,Item_Price,Item_Quantity,Sales,Profit_Capped
6016,2015-03-29,PENDING_PAYMENT,South America,LATAM,COL,Corporate,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2015-03-31,Standard Class,2,4,Advance shipping,PAYMENT,400,1,399.98001,-18.61
40762,2016-08-18,COMPLETE,West of USA,USCA,USA,Consumer,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2016-08-21,Standard Class,3,4,Advance shipping,DEBIT,400,1,399.98001,38.0
4851,2015-03-12,COMPLETE,Central America,LATAM,MEX,Consumer,818,Titleist Pro V1x Golf Balls,Electronics,47.99,2015-03-14,Standard Class,2,4,Advance shipping,DEBIT,48,5,239.95,55.76
69768,2017-10-15,COMPLETE,Northern Europe,Europe,GBR,Consumer,1349,Web Camera,Cameras,452.04,2017-10-19,Standard Class,4,4,Shipping on time,DEBIT,452,1,452.04001,143.97
47586,2016-11-25,ON_HOLD,West Asia,Pacific Asia,IRQ,Corporate,191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,99.99,2016-11-27,Standard Class,2,4,Advance shipping,DEBIT,100,5,499.95001,-108.74
30425,2016-03-20,COMPLETE,Oceania,Pacific Asia,NZL,Corporate,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2016-03-22,First Class,2,1,Late delivery,DEBIT,50,4,199.92,41.74
30867,2016-03-26,SUSPECTED_FRAUD,Oceania,Pacific Asia,NZL,Consumer,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2016-03-29,Standard Class,3,4,Shipping canceled,TRANSFER,200,1,199.99001,44.8
12832,2015-07-07,PENDING_PAYMENT,Western Europe,Europe,BEL,Home Office,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2015-07-10,Second Class,3,2,Late delivery,PAYMENT,50,3,149.94,39.42
22447,2015-11-24,PROCESSING,Oceania,Pacific Asia,AUS,Consumer,957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,299.98,2015-11-27,Standard Class,3,4,Advance shipping,TRANSFER,300,1,299.98001,87.29
42918,2016-09-18,COMPLETE,West Africa,Africa,NGA,Consumer,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2016-09-22,Standard Class,4,4,Shipping on time,DEBIT,50,3,149.94,11.02
9977,2015-05-26,PROCESSING,Central America,LATAM,HND,Corporate,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2015-05-29,Standard Class,3,4,Advance shipping,TRANSFER,50,3,150.0,72.03
26683,2016-01-25,PROCESSING,South Asia,Pacific Asia,PAK,Consumer,403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,129.99,2016-01-29,Standard Class,4,4,Shipping on time,TRANSFER,130,1,129.99001,-6.17
65734,2017-08-17,PENDING_PAYMENT,Northern Europe,Europe,NOR,Home Office,957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,299.98,2017-08-22,Second Class,5,2,Late delivery,PAYMENT,300,1,299.98001,117.29
19407,2015-10-11,COMPLETE,Western Europe,Europe,BEL,Consumer,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2015-10-14,Standard Class,3,4,Advance shipping,DEBIT,50,2,99.96,34.64
22596,2015-11-26,SUSPECTED_FRAUD,Southeast Asia,Pacific Asia,IDN,Consumer,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2015-11-28,Second Class,2,2,Shipping canceled,TRANSFER,400,1,399.98001,91.84
3485,2015-02-20,PENDING,South America,LATAM,BRA,Corporate,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2015-02-26,Standard Class,6,4,Late delivery,TRANSFER,50,4,199.92,43.66
56461,2017-04-04,CLOSED,South America,LATAM,BRA,Corporate,403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,129.99,2017-04-06,Second Class,2,2,Shipping on time,CASH,130,1,129.99001,34.4
19325,2015-10-10,PENDING_PAYMENT,Western Europe,Europe,NLD,Consumer,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2015-10-16,Standard Class,6,4,Late delivery,PAYMENT,200,1,199.99001,58.8
442,2015-01-07,COMPLETE,Central America,LATAM,NIC,Consumer,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2015-01-10,Standard Class,3,4,Advance shipping,DEBIT,200,1,199.99001,47.56
32749,2016-04-23,PROCESSING,South of  USA,USCA,USA,Consumer,191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,99.99,2016-04-28,Second Class,5,2,Late delivery,TRANSFER,100,5,499.95001,26.4
34805,2016-05-23,ON_HOLD,US Center,USCA,USA,Home Office,403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,129.99,2016-05-29,Standard Class,6,4,Late delivery,DEBIT,130,1,129.99001,-181.21
35842,2016-06-07,PROCESSING,US Center,USCA,USA,Consumer,627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,39.99,2016-06-10,Standard Class,3,4,Advance shipping,TRANSFER,40,3,119.97,7.65
18312,2015-09-25,COMPLETE,Western Europe,Europe,FRA,Consumer,365,Perfect Fitness Perfect Rip Deck,Cleats,59.99,2015-09-28,Standard Class,3,4,Advance shipping,DEBIT,60,1,59.99,3.14
59835,2017-05-23,CLOSED,Central America,LATAM,MEX,Home Office,365,Perfect Fitness Perfect Rip Deck,Cleats,59.99,2017-05-29,Second Class,6,2,Late delivery,CASH,60,4,239.96001,97.76
21312,2015-11-08,PROCESSING,Eastern Asia,Pacific Asia,CHN,Consumer,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2015-11-11,Standard Class,3,4,Advance shipping,TRANSFER,50,3,149.94,70.47
59088,2017-05-12,CLOSED,Central America,LATAM,MEX,Consumer,957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,299.98,2017-05-16,Standard Class,4,4,Shipping on time,CASH,300,1,299.98001,136.79
49473,2016-12-23,PENDING_PAYMENT,West Africa,Africa,NGA,Consumer,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2016-12-25,First Class,2,1,Late delivery,PAYMENT,200,1,199.99001,29.52
44780,2016-10-15,COMPLETE,West Asia,Pacific Asia,TUR,Home Office,957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,299.98,2016-10-21,Standard Class,6,4,Late delivery,DEBIT,300,1,299.98001,87.29
63779,2017-07-20,ON_HOLD,Western Europe,Europe,DEU,Consumer,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2017-07-25,Standard Class,5,4,Late delivery,DEBIT,50,2,100.0,-19.0
415,2015-01-07,CLOSED,Central America,LATAM,SLV,Corporate,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2015-01-09,First Class,2,1,Late delivery,CASH,200,1,199.99001,38.8
4626,2015-03-09,COMPLETE,Caribbean,LATAM,DOM,Corporate,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2015-03-11,First Class,2,1,Late delivery,DEBIT,50,4,200.0,20.57
28824,2016-02-25,ON_HOLD,South Asia,Pacific Asia,NPL,Consumer,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2016-03-01,Standard Class,5,4,Late delivery,DEBIT,400,1,399.98001,-66.4
35118,2016-05-27,PROCESSING,East of USA,USCA,USA,Home Office,778,Bag Boy Beverage Holder,Golf Gloves,24.99,2016-05-31,Standard Class,4,4,Shipping on time,TRANSFER,25,3,74.97,23.0
48476,2016-12-08,PENDING_PAYMENT,Eastern Europe,Europe,ROU,Corporate,957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,299.98,2016-12-10,Standard Class,2,4,Advance shipping,PAYMENT,300,1,299.98001,40.8
61801,2017-06-21,COMPLETE,Southern Europe,Europe,ESP,Consumer,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2017-06-23,Standard Class,2,4,Advance shipping,DEBIT,200,1,199.99001,-167.99
31165,2016-03-30,COMPLETE,Oceania,Pacific Asia,NZL,Consumer,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2016-03-31,Same Day,1,0,Late delivery,DEBIT,400,1,399.98001,146.99
68445,2017-09-26,PENDING,Western Europe,Europe,DEU,Corporate,627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,39.99,2017-10-02,Second Class,6,2,Late delivery,TRANSFER,40,3,119.97,31.49
25425,2016-01-07,CLOSED,Eastern Asia,Pacific Asia,CHN,Consumer,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2016-01-13,Standard Class,6,4,Late delivery,CASH,200,1,199.99001,60.84
8487,2015-05-04,PENDING_PAYMENT,South America,LATAM,ARG,Home Office,191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,99.99,2015-05-07,Standard Class,3,4,Advance shipping,PAYMENT,100,5,499.95001,103.99
58662,2017-05-06,PENDING_PAYMENT,South America,LATAM,BRA,Corporate,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2017-05-09,Standard Class,3,4,Advance shipping,PAYMENT,400,1,399.98001,57.8
19915,2015-10-18,PENDING_PAYMENT,Southern Europe,Europe,ESP,Home Office,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2015-10-24,Standard Class,6,4,Late delivery,PAYMENT,50,5,249.89999,27.39
33868,2016-05-09,PENDING,US Center,USCA,USA,Home Office,365,Perfect Fitness Perfect Rip Deck,Cleats,59.99,2016-05-13,Second Class,4,2,Late delivery,TRANSFER,60,4,239.96001,92.72
43976,2016-10-03,PENDING_PAYMENT,Southern Africa,Africa,ZAF,Home Office,627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,39.99,2016-10-05,Standard Class,2,4,Advance shipping,PAYMENT,40,2,79.98,21.59
64122,2017-07-25,ON_HOLD,Western Europe,Europe,BEL,Consumer,365,Perfect Fitness Perfect Rip Deck,Cleats,59.99,2017-07-28,Second Class,3,2,Late delivery,DEBIT,60,2,119.98,50.39
24425,2015-12-23,PENDING,Southeast Asia,Pacific Asia,IDN,Consumer,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2015-12-29,Standard Class,6,4,Late delivery,TRANSFER,50,3,149.94,58.7
61462,2017-06-16,PROCESSING,South America,LATAM,BRA,Home Office,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2017-06-19,Standard Class,3,4,Advance shipping,TRANSFER,50,5,250.0,102.23
43940,2016-10-03,CLOSED,Eastern Europe,Europe,UKR,Corporate,191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,99.99,2016-10-09,Standard Class,6,4,Late delivery,CASH,100,4,399.95999,68.03
46702,2016-11-12,CLOSED,Eastern Europe,Europe,RUS,Corporate,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2016-11-15,Standard Class,3,4,Advance shipping,CASH,50,5,250.0,66.51
61297,2017-06-13,PENDING_PAYMENT,South America,LATAM,BRA,Home Office,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2017-06-15,First Class,2,1,Late delivery,PAYMENT,200,1,199.99001,58.1
14705,2015-08-03,PENDING_PAYMENT,Western Europe,Europe,DEU,Consumer,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2015-08-09,Standard Class,6,4,Late delivery,PAYMENT,50,2,100.0,-63.7
40361,2016-08-12,CLOSED,US Center,USCA,USA,Corporate,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2016-08-14,Second Class,2,2,Shipping on time,CASH,50,5,250.0,111.63
27567,2016-02-07,CLOSED,Eastern Asia,Pacific Asia,CHN,Home Office,235,Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,34.99,2016-02-10,Second Class,3,2,Late delivery,CASH,35,1,34.99,15.87
52383,2017-02-03,ON_HOLD,South America,LATAM,COL,Consumer,627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,39.99,2017-02-07,Standard Class,4,4,Shipping on time,DEBIT,40,4,159.96001,63.9
11842,2015-06-22,COMPLETE,Northern Europe,Europe,GBR,Consumer,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2015-06-25,Standard Class,3,4,Advance shipping,DEBIT,200,1,199.99001,56.34
65774,2017-08-18,COMPLETE,Southern Europe,Europe,ESP,Home Office,625,Nike Men's Kobe IX Elite Low Basketball Shoe,Shop By Sport,199.99,2017-08-23,Standard Class,5,4,Late delivery,DEBIT,200,1,199.99001,94.08
67226,2017-09-08,CLOSED,Western Europe,Europe,AUT,Corporate,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2017-09-10,Standard Class,2,4,Advance shipping,CASH,200,1,199.99001,58.8
39007,2016-07-23,PENDING_PAYMENT,West of USA,USCA,USA,Consumer,403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,129.99,2016-07-23,Same Day,0,0,Shipping on time,PAYMENT,130,1,129.99001,-72.63
26786,2016-01-26,COMPLETE,Eastern Asia,Pacific Asia,CHN,Consumer,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2016-01-28,Standard Class,2,4,Advance shipping,DEBIT,400,1,399.98001,21.12
32007,2016-04-12,PENDING,East of USA,USCA,USA,Home Office,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2016-04-15,Second Class,3,2,Late delivery,TRANSFER,50,5,249.89999,84.84
42648,2016-09-14,COMPLETE,West Africa,Africa,CIV,Consumer,365,Perfect Fitness Perfect Rip Deck,Cleats,59.99,2016-09-18,Standard Class,4,4,Shipping on time,DEBIT,60,3,179.97,70.84
49381,2016-12-21,COMPLETE,West Asia,Pacific Asia,TUR,Consumer,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2016-12-23,First Class,2,1,Late delivery,DEBIT,50,2,100.0,42.3
6696,2015-04-08,COMPLETE,South America,LATAM,VEN,Corporate,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2015-04-10,Standard Class,2,4,Advance shipping,DEBIT,200,1,199.99001,12.47
506,2015-01-08,PENDING,Central America,LATAM,MEX,Home Office,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2015-01-10,Standard Class,2,4,Advance shipping,TRANSFER,400,1,399.98001,124.79
10866,2015-06-08,PROCESSING,Northern Europe,Europe,GBR,Consumer,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2015-06-10,Standard Class,2,4,Advance shipping,TRANSFER,400,1,399.98001,69.3
37464,2016-06-30,COMPLETE,US Center,USCA,USA,Consumer,365,Perfect Fitness Perfect Rip Deck,Cleats,59.99,2016-07-05,Second Class,5,2,Late delivery,DEBIT,60,2,119.98,-2.52
76438,2018-01-20,PENDING_PAYMENT,Eastern Asia,Pacific Asia,CHN,Consumer,1362,Fighting video games,Video Games,39.75,2018-01-21,Same Day,1,0,Late delivery,PAYMENT,40,1,39.75,10.34
65941,2017-08-20,COMPLETE,Western Europe,Europe,FRA,Home Office,403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,129.99,2017-08-22,Standard Class,2,4,Advance shipping,DEBIT,130,1,129.99001,-297.42
16656,2015-09-01,SUSPECTED_FRAUD,Western Europe,Europe,FRA,Corporate,191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,99.99,2015-09-03,Standard Class,2,4,Shipping canceled,TRANSFER,100,5,499.95001,174.98
55509,2017-03-21,COMPLETE,Central America,LATAM,HND,Corporate,627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,39.99,2017-03-26,Standard Class,5,4,Late delivery,DEBIT,40,1,39.99,-9.9
15122,2015-08-09,CLOSED,Southern Europe,Europe,ITA,Consumer,403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,129.99,2015-08-11,First Class,2,1,Late delivery,CASH,130,1,129.99001,9.38
50836,2017-01-12,PROCESSING,Eastern Europe,Europe,HUN,Corporate,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2017-01-14,Standard Class,2,4,Advance shipping,TRANSFER,400,1,399.98001,147.59
14688,2015-08-03,PENDING,Western Europe,Europe,FRA,Consumer,365,Perfect Fitness Perfect Rip Deck,Cleats,59.99,2015-08-07,Standard Class,4,4,Shipping on time,TRANSFER,60,5,299.95001,35.99
4898,2015-03-13,COMPLETE,South America,LATAM,BRA,Corporate,567,adidas Men's Germany Black Crest Away Tee,Girls' Apparel,25.0,2015-03-17,Second Class,4,2,Late delivery,DEBIT,25,1,25.0,2.09
52636,2017-02-07,COMPLETE,Central America,LATAM,SLV,Home Office,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2017-02-09,First Class,2,1,Late delivery,DEBIT,50,5,250.0,-6.25
48563,2016-12-09,PENDING_PAYMENT,East Africa,Africa,ZMB,Consumer,957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,299.98,2016-12-13,Second Class,4,2,Late delivery,PAYMENT,300,1,299.98001,117.02
55870,2017-03-26,PROCESSING,Central America,LATAM,MEX,Consumer,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2017-04-01,Second Class,6,2,Late delivery,TRANSFER,200,1,199.99001,78.12
60431,2017-06-01,COMPLETE,South America,LATAM,BRA,Corporate,403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,129.99,2017-06-03,Standard Class,2,4,Advance shipping,DEBIT,130,1,129.99001,-72.83
76677,2018-01-24,PROCESSING,Southeast Asia,Pacific Asia,IDN,Consumer,1362,Fighting video games,Video Games,39.75,2018-01-27,Standard Class,3,4,Advance shipping,TRANSFER,40,1,39.75,15.36
46830,2016-11-14,COMPLETE,West Asia,Pacific Asia,ISR,Consumer,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2016-11-20,Standard Class,6,4,Late delivery,DEBIT,50,1,50.0,3.31
37922,2016-07-07,COMPLETE,US Center,USCA,USA,Corporate,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2016-07-10,Standard Class,3,4,Advance shipping,DEBIT,200,1,199.99001,17.0
17756,2015-09-17,COMPLETE,Southern Europe,Europe,ITA,Corporate,403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,129.99,2015-09-19,Standard Class,2,4,Advance shipping,DEBIT,130,1,129.99001,43.88
54286,2017-03-03,COMPLETE,Central America,LATAM,GTM,Home Office,627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,39.99,2017-03-05,First Class,2,1,Late delivery,DEBIT,40,2,79.98,24.53
14815,2015-08-05,PROCESSING,Western Europe,Europe,DEU,Consumer,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2015-08-11,Standard Class,6,4,Late delivery,TRANSFER,50,2,100.0,-63.66
38242,2016-07-12,PENDING_PAYMENT,East of USA,USCA,USA,Home Office,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2016-07-15,Standard Class,3,4,Advance shipping,PAYMENT,50,2,99.96,41.63
19970,2015-10-19,COMPLETE,Northern Europe,Europe,GBR,Consumer,191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,99.99,2015-10-25,Standard Class,6,4,Late delivery,DEBIT,100,3,299.97,21.82
13352,2015-07-14,PENDING_PAYMENT,Northern Europe,Europe,GBR,Corporate,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2015-07-17,Standard Class,3,4,Advance shipping,PAYMENT,50,4,200.0,18.75
67683,2017-09-15,PENDING_PAYMENT,Western Europe,Europe,DEU,Corporate,403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,129.99,2017-09-19,Second Class,4,2,Late delivery,PAYMENT,130,1,129.99001,47.84
16721,2015-09-02,PENDING_PAYMENT,Western Europe,Europe,FRA,Corporate,278,Under Armour Men's Compression EV SL Slide,Electronics,44.99,2015-09-04,Standard Class,2,4,Advance shipping,PAYMENT,45,4,179.96001,-136.65
29962,2016-03-13,CLOSED,Oceania,Pacific Asia,AUS,Corporate,191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,99.99,2016-03-16,Standard Class,3,4,Advance shipping,CASH,100,2,199.98,77.07
19792,2015-10-16,COMPLETE,Northern Europe,Europe,IRL,Consumer,1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98,2015-10-18,First Class,2,1,Late delivery,DEBIT,400,1,399.98001,184.23
56134,2017-03-30,PROCESSING,Central America,LATAM,NIC,Consumer,278,Under Armour Men's Compression EV SL Slide,Electronics,44.99,2017-04-04,Second Class,5,2,Late delivery,TRANSFER,45,4,179.96001,38.84
23303,2015-12-07,PROCESSING,Southeast Asia,Pacific Asia,IDN,Consumer,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2015-12-11,Standard Class,4,4,Shipping on time,TRANSFER,50,4,200.0,22.37
11973,2015-06-24,COMPLETE,Western Europe,Europe,FRA,Corporate,403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,129.99,2015-06-28,Standard Class,4,4,Shipping on time,DEBIT,130,1,129.99001,-48.55
42043,2016-09-05,COMPLETE,Eastern Europe,Europe,POL,Home Office,365,Perfect Fitness Perfect Rip Deck,Cleats,59.99,2016-09-07,First Class,2,1,Late delivery,DEBIT,60,5,299.95001,112.03
42706,2016-09-15,COMPLETE,West Africa,Africa,SEN,Corporate,116,Nike Men's Comfort 2 Slide,Tennis & Racquet,44.99,2016-09-17,Standard Class,2,4,Advance shipping,DEBIT,45,4,179.96001,46.97
39822,2016-08-04,COMPLETE,East of USA,USCA,USA,Consumer,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2016-08-07,Standard Class,3,4,Advance shipping,DEBIT,50,5,249.89999,-326.45
27586,2016-02-07,PENDING,Oceania,Pacific Asia,AUS,Consumer,1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98,2016-02-09,Standard Class,2,4,Advance shipping,TRANSFER,50,1,49.98,12.24
61599,2017-06-18,COMPLETE,Western Europe,Europe,FRA,Consumer,627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,39.99,2017-06-23,Standard Class,5,4,Late delivery,DEBIT,40,4,159.96001,16.27
33120,2016-04-28,SUSPECTED_FRAUD,US Center,USCA,USA,Consumer,365,Perfect Fitness Perfect Rip Deck,Cleats,59.99,2016-05-04,Standard Class,6,4,Shipping canceled,TRANSFER,60,4,239.96001,62.63
64674,2017-08-02,COMPLETE,Southern Europe,Europe,ESP,Consumer,365,Perfect Fitness Perfect Rip Deck,Cleats,59.99,2017-08-07,Standard Class,5,4,Late delivery,DEBIT,60,1,59.99,-24.3
46940,2016-11-16,PENDING_PAYMENT,Canada,USCA,CAN,Consumer,893,Team Golf Pittsburgh Steelers Putter Grip,Accessories,24.99,2016-11-22,Second Class,6,2,Late delivery,PAYMENT,25,3,74.97,35.61
1373,2015-01-21,PROCESSING,Central America,LATAM,MEX,Consumer,403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,129.99,2015-01-23,First Class,2,1,Late delivery,TRANSFER,130,1,129.99001,-4.19
74242,2017-12-19,PROCESSING,Oceania,Pacific Asia,AUS,Consumer,1348,CDs of rock,CDs,11.29,2017-12-22,Standard Class,3,4,Advance shipping,TRANSFER,11,1,11.29,0.39
48317,2016-12-06,COMPLETE,North Africa,Africa,EGY,Home Office,365,Perfect Fitness Perfect Rip Deck,Cleats,59.99,2016-12-09,Second Class,3,2,Late delivery,DEBIT,60,3,179.97,38.24
15553,2015-08-16,PENDING_PAYMENT,Northern Europe,Europe,GBR,Consumer,564,Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,30.0,2015-08-20,Second Class,4,2,Late delivery,PAYMENT,30,3,90.0,25.83
74475,2017-12-23,COMPLETE,Eastern Asia,Pacific Asia,CHN,Corporate,1350,Children's heaters,Children's Clothing,357.1,2017-12-29,Second Class,6,2,Late delivery,DEBIT,357,1,357.10001,54.28
10510,2015-06-03,CLOSED,Western Europe,Europe,FRA,Consumer,365,Perfect Fitness Perfect Rip Deck,Cleats,59.99,2015-06-09,Standard Class,6,4,Late delivery,CASH,60,4,239.96001,-197.02
37871,2016-07-06,PENDING_PAYMENT,East of USA,USCA,USA,Consumer,365,Perfect Fitness Perfect Rip Deck,Cleats,59.99,2016-07-08,Second Class,2,2,Shipping on time,PAYMENT,60,4,239.96001,68.87
13292,2015-07-14,PENDING_PAYMENT,Northern Europe,Europe,GBR,Corporate,957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,299.98,2015-07-17,Standard Class,3,4,Advance shipping,PAYMENT,300,1,299.98001,66.42
6535,2015-04-06,COMPLETE,South America,LATAM,BRA,Consumer,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2015-04-08,First Class,2,1,Late delivery,DEBIT,200,1,199.99001,82.72
1949,2015-01-29,COMPLETE,South America,LATAM,BRA,Consumer,1073,Pelican Sunstream 100 Kayak,Water Sports,199.99,2015-02-03,Standard Class,5,4,Late delivery,DEBIT,200,1,199.99001,65.1
18242,2015-09-24,COMPLETE,Northern Europe,Europe,GBR,Consumer,44,adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,59.99,2015-09-27,Second Class,3,2,Late delivery,DEBIT,60,1,59.99,14.62
70909,2017-11-01,PENDING_PAYMENT,Western Europe,Europe,FRA,Consumer,1352,Industrial consumer electronics,Consumer Electronics,252.88,2017-11-06,Standard Class,5,4,Late delivery,PAYMENT,253,1,252.88,83.64
28166,2016-02-16,PENDING_PAYMENT,Southeast Asia,Pacific Asia,IDN,Consumer,502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0,2016-02-18,Standard Class,2,4,Advance shipping,PAYMENT,50,4,200.0,19.8
55461,2017-03-20,CLOSED,Central America,LATAM,MEX,Corporate,957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,299.98,2017-03-22,Standard Class,2,4,Advance shipping,CASH,300,1,299.98001,83.15
